Path_JungleHighlandsToSecretValley_CardDescription,"",这里通向一处祥和的溪谷。<b>（只有手牌可以带走）</b>
Path_JungleHighlandsToSecretValley_CardName,"",隐秘峡谷
Path_JungleHighlandsToSecretValley_DismantleActions[0].FadeMessage,"",进入溪谷……
Env_YinMiXiaGu_CardDescription,"",一处隐秘的山谷，在这里应该能有新的发现。
Env_YinMiXiaGu_CardName,"",隐秘峡谷
XiaGuDongXueRuKou_CardDescription,"",进入洞穴
XiaGuDongXueRuKou,"",溪谷洞穴
XiaGuDongXueChuKou_CardDescription,"",离开洞穴
XiaGuDongXueChuKou_CardName,"",隐秘峡谷
XiaGuDongXueChuKou_DismantleActions[0].ActionName,"",离开
XiaGuDongXueChuKou_DismantleActions[0].FadeMessage,"",离开洞穴
CaveSpring_CardDescription,"",一汪有泉眼的山泉，正涌出着山泉水。
CaveSpring_CardName,"",山泉
Env_CaveValley_CardDescription,"",一处在峡谷中的洞穴，或许能发现点新东西。
CaveValley_CardName,"",峡谷洞穴
MagnetiteVein_CardDescription,"",一处磁石矿脉，我可以在这里挖掘磁石。
MagnetiteVein_CardName,"",磁石矿脉
CaveWood_CardDescription,"",一根朽木，上面长有蘑菇。
CaveWood_CardName,"",朽木
Env_CaveValley_CardName,"",峡谷洞穴
KaoYuMi_CardDescription,"",烤熟的玉米，好吃！
KaoYuMi_CardName,"",烤玉米
Magnetite_CardDescription,"",一块磁石，具有磁性。
Magnetite_CardName,"",磁石
WaterFall_CardDescription,"",一处带有溪流的瀑布，可以收集水（饮水并不安全！）、挖泥、叉鱼，我应该可以在附近修建水车。
WaterFall_CardName,"",带溪流的瀑布
XiaoMai_CardDescription,"",割下的小麦，我应该把它磨成面粉
XiaoMai_CardName,"",小麦
XiaoMaiCong_CardDescription,"",一片小麦丛，我可以割小麦
XiaoMaiCong_CardName,"",小麦丛
XiaoMaiTian_CardName,"",小麦田
YuMi_CardName,"",生玉米
YuMiCong_CardDescription,"",一片玉米丛，我可以采集玉米
YuMiCong_CardName,"",玉米丛
YuMiTian_CardName,"",玉米田
